datetime,region,city,electricity_usage_kwh,traffic_volume_vehicles,industrial_output_units,temperature_celsius,humidity_percent,public_transport_passengers,population_density_per_km2,co2_emissions_ppm
2025-11-08 18:58:35.040324,Daejeon,Dong-gu,5211.72,2510.0,548.01,11.7,67.5,2542.0,2711.0,524.15
2025-11-08 18:58:35.040324,Daejeon,Jung-gu,6955.42,5266.0,1385.79,8.62,60.4,19872.0,9809.0,511.84
2025-11-08 18:58:35.040324,Daejeon,Seo-gu,5679.45,3526.0,165.79,8.44,67.1,764.0,218.0,492.09
2025-11-08 18:58:35.040324,Daejeon,Yuseong-gu,3944.34,4570.0,301.08,9.68,76.3,2907.0,2104.0,477.74
2025-11-08 18:58:35.040324,Gangwon,Chuncheon,6591.45,2779.0,985.45,9.72,76.7,3703.0,1226.0,550.49
2025-11-08 18:58:35.040324,Gangwon,Donghae,7743.88,1568.0,362.96,10.48,77.7,1270.0,2232.0,522.38
2025-11-08 18:58:35.040324,Gangwon,Gangneung,1203.95,5209.0,601.16,10.52,64.3,2944.0,2550.0,466.95
2025-11-08 18:58:35.040324,Gangwon,Sokcho,7429.48,2285.0,1197.61,9.35,70.6,2687.0,1179.0,542.36
2025-11-08 18:58:35.040324,Gangwon,Wonju,1849.18,1013.0,180.04,11.31,58.4,1255.0,668.0,462.46
2025-11-08 18:58:35.040324,Gwangju,Buk-gu,2348.07,2940.0,1066.4,8.58,68.0,905.0,115.0,511.18
2025-11-08 18:58:35.040324,Gwangju,Dong-gu,10285.11,3114.0,703.38,12.08,63.2,3563.0,2827.0,455.37
2025-11-08 18:58:35.040324,Gwangju,Gwangsan-gu,6696.32,2930.0,1035.19,10.57,57.7,1345.0,1044.0,516.7
2025-11-08 18:58:35.040324,Gwangju,Nam-gu,4494.13,1340.0,1214.75,6.55,66.6,777.0,1773.0,474.0
2025-11-08 18:58:35.040324,Gwangju,Seo-gu,3235.28,4493.0,748.88,10.52,65.7,1723.0,869.0,539.26
2025-11-08 18:58:35.040324,Gyeongbuk,Andong,3974.86,2918.0,1551.83,11.14,68.4,3197.0,2722.0,496.34
2025-11-08 18:58:35.040324,Gyeongbuk,Gumi,2574.29,1135.0,2747.13,10.42,63.6,1794.0,2142.0,490.74
2025-11-08 18:58:35.040324,Gyeongbuk,Gyeongju,4815.21,4231.0,790.03,8.0,71.0,2359.0,1701.0,454.37
2025-11-08 18:58:35.040324,Gyeongbuk,Pohang,12139.99,2628.0,6408.97,11.17,65.2,23349.0,9463.0,495.86
2025-11-08 18:58:35.040324,Gyeongbuk,Yeongju,8942.04,2032.0,512.17,11.02,64.1,1206.0,527.0,491.62
2025-11-08 18:58:35.040324,Gyeonggi,Ansan,6668.25,2061.0,276.84,10.44,58.5,1590.0,2581.0,495.85
2025-11-08 18:58:35.040324,Gyeonggi,Bucheon,3165.89,2478.0,1107.07,8.15,55.5,353.0,1317.0,463.82
2025-11-08 18:58:35.040324,Gyeonggi,Goyang,8968.37,4136.0,1155.29,7.95,58.1,885.0,174.0,493.73
2025-11-08 18:58:35.040324,Gyeonggi,Hwaseong,6139.2,3717.0,197.39,10.73,60.8,3616.0,1256.0,490.81
2025-11-08 18:58:35.040324,Gyeonggi,Namyangju,2446.68,972.0,1020.36,10.9,78.0,2170.0,2010.0,450.31
2025-11-08 18:58:35.040324,Gyeonggi,Seongnam,23161.09,7866.0,513.7,9.21,64.8,6483.0,11028.0,520.96
2025-11-08 18:58:35.040324,Gyeonggi,Suwon,10890.24,10271.0,215.95,10.45,65.1,16600.0,11665.0,453.25
2025-11-08 18:58:35.040324,Gyeonggi,Yongin,6232.89,2632.0,573.01,11.4,65.5,2339.0,1693.0,525.25
2025-11-08 18:58:35.040324,Gyeongnam,Changwon,9616.85,3946.0,2824.04,8.68,57.3,21483.0,9684.0,454.38
2025-11-08 18:58:35.040324,Gyeongnam,Geoje,3453.69,4278.0,7591.51,9.29,61.6,2433.0,277.0,473.36
2025-11-08 18:58:35.040324,Gyeongnam,Gimhae,3022.79,1244.0,253.38,11.16,61.6,1544.0,590.0,457.12
2025-11-08 18:58:35.040324,Gyeongnam,Jinju,3901.41,3654.0,801.8,9.14,57.2,403.0,627.0,505.07
2025-11-08 18:58:35.040324,Gyeongnam,Yangsan,6816.19,659.0,1354.25,7.56,71.5,2838.0,1560.0,505.03
2025-11-08 18:58:35.040324,Incheon,Bupyeong-gu,3477.16,2145.0,1148.4,8.6,61.1,695.0,2732.0,476.24
2025-11-08 18:58:35.040324,Incheon,Michuhol-gu,7702.01,1670.0,253.19,10.17,70.2,2987.0,2442.0,461.96
2025-11-08 18:58:35.040324,Incheon,Namdong-gu,3828.54,637.0,225.33,10.64,62.4,1810.0,1616.0,442.14
2025-11-08 18:58:35.040324,Incheon,Seo-gu,5913.55,3084.0,1267.76,8.75,75.7,1788.0,2796.0,514.4
2025-11-08 18:58:35.040324,Incheon,Yeonsu-gu,4407.09,1111.0,1032.0,10.77,66.6,1875.0,2673.0,518.68
2025-11-08 18:58:35.040324,Jeju,Jeju City,11374.97,10611.0,1247.38,8.56,67.4,23418.0,9465.0,454.48
2025-11-08 18:58:35.040324,Jeju,Seogwipo,4440.39,1095.0,646.66,9.01,64.4,1491.0,1584.0,497.31
2025-11-08 18:58:35.040324,Jeonbuk,Gunsan,6814.58,1886.0,7928.12,10.83,55.5,960.0,1925.0,508.06
2025-11-08 18:58:35.040324,Jeonbuk,Iksan,8423.7,2591.0,878.78,8.64,65.8,1289.0,2856.0,482.39
2025-11-08 18:58:35.040324,Jeonbuk,Jeonju,25057.41,11444.0,1426.28,10.67,75.6,19059.0,1126.0,454.83
2025-11-08 18:58:35.040324,Jeonbuk,Namwon,1720.93,3561.0,1494.83,10.08,53.6,2308.0,1793.0,500.42
2025-11-08 18:58:35.040324,Jeonnam,Gwangyang,3344.33,2337.0,304.83,9.47,63.2,2573.0,2564.0,543.03
2025-11-08 18:58:35.040324,Jeonnam,Mokpo,2121.42,3930.0,1263.65,11.44,71.9,1564.0,2086.0,538.52
2025-11-08 18:58:35.040324,Jeonnam,Naju,9279.65,2381.0,1621.75,9.87,71.1,3727.0,263.0,547.85
2025-11-08 18:58:35.040324,Jeonnam,Suncheon,4549.5,3184.0,1301.94,9.9,67.6,1141.0,1823.0,537.26
2025-11-08 18:58:35.040324,Jeonnam,Yeosu,6515.84,794.0,203.94,11.55,71.0,736.0,2805.0,479.12
2025-11-08 18:58:35.040324,Sejong,Sejong City,5513.16,543.0,161.56,8.87,59.5,1578.0,931.0,522.72
2025-11-08 18:58:35.040324,Seoul,Gangnam-gu,18616.81,3325.0,1542.94,9.55,61.4,9778.0,9216.0,528.72
2025-11-08 18:58:35.040324,Seoul,Jung-gu,20177.21,11057.0,1119.85,9.06,56.1,29443.0,5931.0,461.53
2025-11-08 18:58:35.040324,Seoul,Mapo-gu,8964.66,3741.0,1310.29,7.93,67.4,1548.0,289.0,482.77
2025-11-08 18:58:35.040324,Seoul,Seocho-gu,6374.12,1355.0,867.63,8.87,63.2,484.0,1423.0,505.99
2025-11-08 18:58:35.040324,Seoul,Songpa-gu,5280.36,2753.0,481.15,8.46,58.7,1065.0,982.0,511.87
2025-11-08 18:58:35.040324,Seoul,Yeongdeungpo-gu,5080.71,634.0,1408.47,11.01,55.1,2113.0,454.0,471.47
2025-11-08 18:58:35.040324,Ulsan,Buk-gu,6883.0,2621.0,1142.64,9.39,70.5,3384.0,2644.0,473.12
2025-11-08 18:58:35.040324,Ulsan,Dong-gu,6661.12,2452.0,220.81,12.46,53.3,1873.0,2815.0,507.66
2025-11-08 18:58:35.040324,Ulsan,Jung-gu,19564.19,9858.0,765.16,10.39,65.4,23103.0,13073.0,517.75
2025-11-08 18:58:35.040324,Ulsan,Nam-gu,7658.87,1642.0,770.29,9.73,58.6,1585.0,2894.0,535.25
2025-11-08 18:58:35.040324,Ulsan,Ulju-gun,3518.98,2263.0,2490.26,8.6,58.3,1526.0,2681.0,502.37
2025-11-08 19:58:35.040324,Busan,Busanjin-gu,4845.58,1111.0,1329.63,11.08,75.6,951.0,915.0,458.73
2025-11-08 19:58:35.040324,Busan,Gangseo-gu,6589.49,1974.0,2881.68,7.89,70.0,2463.0,2603.0,482.91
2025-11-08 19:58:35.040324,Busan,Haeundae-gu,7574.51,16964.0,1105.89,9.71,72.1,29269.0,8427.0,539.4
2025-11-08 19:58:35.040324,Busan,Saha-gu,6467.41,4182.0,1121.1,7.35,66.4,508.0,116.0,522.57
2025-11-08 19:58:35.040324,Busan,Suyeong-gu,2808.46,659.0,498.6,8.24,71.8,1361.0,357.0,483.37
2025-11-08 19:58:35.040324,Chungbuk,Cheongju,10336.2,2287.0,1253.46,10.63,66.5,296.0,399.0,492.4
2025-11-08 19:58:35.040324,Chungbuk,Chungju,1526.17,1838.0,1339.12,9.08,71.7,1584.0,2726.0,541.51
2025-11-08 19:58:35.040324,Chungbuk,Danyang,4924.46,2257.0,1270.41,8.83,63.8,2945.0,267.0,472.99
2025-11-08 19:58:35.040324,Chungbuk,Jecheon,3205.24,3979.0,1085.22,8.91,56.6,1436.0,950.0,528.17
2025-11-08 19:58:35.040324,Chungnam,Asan,1450.3,2886.0,971.86,10.53,60.6,1591.0,1191.0,484.56
2025-11-08 19:58:35.040324,Chungnam,Cheonan,1786.61,858.0,1096.12,11.17,71.9,509.0,1893.0,452.56
2025-11-08 19:58:35.040324,Chungnam,Gongju,8975.26,1988.0,662.74,10.99,83.8,2626.0,346.0,527.74
2025-11-08 19:58:35.040324,Chungnam,Nonsan,4159.83,2162.0,1523.35,11.2,59.1,2980.0,2890.0,484.62
2025-11-08 19:58:35.040324,Chungnam,Seosan,4643.09,687.0,342.24,9.57,71.0,2030.0,133.0,466.22
2025-11-08 19:58:35.040324,Daegu,Buk-gu,1366.66,4069.0,809.73,8.22,72.3,990.0,926.0,461.92
2025-11-08 19:58:35.040324,Daegu,Dalseo-gu,6568.57,1870.0,1430.33,8.4,66.0,1158.0,1604.0,534.51
2025-11-08 19:58:35.040324,Daegu,Dong-gu,4908.49,2932.0,740.69,10.59,65.2,954.0,1167.0,451.94
2025-11-08 19:58:35.040324,Daegu,Jung-gu,14498.92,16745.0,476.75,10.87,65.9,17948.0,2601.0,516.7
2025-11-08 19:58:35.040324,Daegu,Suseong-gu,5533.47,2566.0,520.45,8.54,79.0,1187.0,120.0,470.72
2025-11-08 19:58:35.040324,Daejeon,Daedeok-gu,6451.96,3389.0,940.26,8.06,61.2,2565.0,848.0,512.3
2025-11-08 19:58:35.040324,Daejeon,Dong-gu,5581.79,2055.0,604.71,11.39,78.4,2482.0,2711.0,520.57
2025-11-08 19:58:35.040324,Daejeon,Jung-gu,6877.08,5560.0,1298.5,7.17,62.6,20689.0,9809.0,508.74
2025-11-08 19:58:35.040324,Daejeon,Seo-gu,6247.52,1881.0,219.2,8.88,68.7,772.0,218.0,498.32
2025-11-08 19:58:35.040324,Daejeon,Yuseong-gu,4104.67,4016.0,401.2,7.06,75.5,2969.0,2104.0,482.37
2025-11-08 19:58:35.040324,Gangwon,Chuncheon,5713.67,2562.0,883.28,7.59,77.2,3106.0,1226.0,547.93
2025-11-08 19:58:35.040324,Gangwon,Donghae,6717.19,1859.0,376.52,10.38,76.1,1573.0,2232.0,522.86
2025-11-08 19:58:35.040324,Gangwon,Gangneung,1441.24,3095.0,545.65,9.25,70.4,2937.0,2550.0,469.4
2025-11-08 19:58:35.040324,Gangwon,Sokcho,7832.04,1924.0,1449.2,9.11,67.2,2542.0,1179.0,537.74
2025-11-08 19:58:35.040324,Gangwon,Wonju,1753.34,859.0,162.14,10.67,63.6,1088.0,668.0,453.17
2025-11-08 19:58:35.040324,Gwangju,Buk-gu,2422.12,3649.0,1003.44,7.96,70.6,888.0,115.0,524.42
2025-11-08 19:58:35.040324,Gwangju,Dong-gu,7410.48,5235.0,548.44,10.37,64.3,4007.0,2827.0,448.12
2025-11-08 19:58:35.040324,Gwangju,Gwangsan-gu,6007.6,2828.0,1186.25,9.36,58.6,1448.0,1044.0,506.86
2025-11-08 19:58:35.040324,Gwangju,Nam-gu,5707.17,1102.0,1055.41,6.36,74.0,756.0,1773.0,473.96
2025-11-08 19:58:35.040324,Gwangju,Seo-gu,3258.19,3016.0,683.48,10.0,70.5,1816.0,869.0,530.75
2025-11-08 19:58:35.040324,Gyeongbuk,Andong,3585.32,2876.0,1292.89,10.33,76.2,3311.0,2722.0,485.72
2025-11-08 19:58:35.040324,Gyeongbuk,Gumi,2756.28,875.0,2170.87,9.24,61.6,1274.0,2142.0,487.69
2025-11-08 19:58:35.040324,Gyeongbuk,Gyeongju,5601.62,4759.0,653.49,7.75,71.7,1994.0,1701.0,464.13
2025-11-08 19:58:35.040324,Gyeongbuk,Pohang,10794.97,3991.0,7641.18,10.83,65.2,24485.0,9463.0,500.86
2025-11-08 19:58:35.040324,Gyeongbuk,Yeongju,8122.8,2304.0,485.38,11.26,67.2,1272.0,527.0,489.06
2025-11-08 19:58:35.040324,Gyeonggi,Ansan,5816.13,2645.0,246.67,8.65,56.9,1551.0,2581.0,493.27
2025-11-08 19:58:35.040324,Gyeonggi,Bucheon,3541.7,2138.0,1343.12,7.6,58.4,339.0,1317.0,449.56
2025-11-08 19:58:35.040324,Gyeonggi,Goyang,9082.39,3162.0,1195.04,9.09,62.2,989.0,174.0,486.5
2025-11-08 19:58:35.040324,Gyeonggi,Hwaseong,5702.72,2913.0,200.39,9.5,59.3,2876.0,1256.0,482.83
2025-11-08 19:58:35.040324,Gyeonggi,Namyangju,2366.05,992.0,864.92,9.37,74.3,1818.0,2010.0,456.7
2025-11-08 19:58:35.040324,Gyeonggi,Seongnam,17955.08,12427.0,509.82,8.58,65.2,8496.0,11028.0,521.94
2025-11-08 19:58:35.040324,Gyeonggi,Suwon,9897.01,11469.0,244.35,9.24,67.3,15276.0,11665.0,453.2
2025-11-08 19:58:35.040324,Gyeonggi,Yongin,7614.87,3074.0,535.4,10.01,71.8,1870.0,1693.0,553.76
2025-11-08 19:58:35.040324,Gyeongnam,Changwon,7687.47,2669.0,3120.1,7.9,58.6,18602.0,9684.0,441.6
2025-11-08 19:58:35.040324,Gyeongnam,Geoje,3515.82,4701.0,7403.22,7.74,67.9,2029.0,277.0,473.46
2025-11-08 19:58:35.040324,Gyeongnam,Gimhae,3339.09,1173.0,340.54,9.01,58.9,1243.0,590.0,463.46
2025-11-08 19:58:35.040324,Gyeongnam,Jinju,4421.32,4833.0,719.82,7.47,55.9,391.0,627.0,519.08
2025-11-08 19:58:35.040324,Gyeongnam,Yangsan,7096.46,751.0,1328.12,7.41,77.0,3141.0,1560.0,512.15
2025-11-08 19:58:35.040324,Incheon,Bupyeong-gu,2873.83,1970.0,1108.22,8.21,52.7,764.0,2732.0,467.77
2025-11-08 19:58:35.040324,Incheon,Michuhol-gu,8500.45,1600.0,294.34,9.37,75.3,2916.0,2442.0,461.08
2025-11-08 19:58:35.040324,Incheon,Namdong-gu,3555.39,697.0,338.68,9.47,64.2,1477.0,1616.0,451.29
2025-11-08 19:58:35.040324,Incheon,Seo-gu,8979.96,2588.0,1185.99,8.52,73.3,1901.0,2796.0,532.09
2025-11-08 19:58:35.040324,Incheon,Yeonsu-gu,4722.35,870.0,1204.4,9.05,73.6,1699.0,2673.0,521.38
2025-11-08 19:58:35.040324,Jeju,Jeju City,12867.44,9859.0,905.17,8.61,66.8,23451.0,9465.0,453.42
2025-11-08 19:58:35.040324,Jeju,Seogwipo,5105.96,1166.0,662.02,8.58,68.5,1499.0,1584.0,501.58
2025-11-08 19:58:35.040324,Jeonbuk,Gunsan,6665.67,2283.0,7534.79,11.38,56.5,1212.0,1925.0,515.71
2025-11-08 19:58:35.040324,Jeonbuk,Iksan,8172.71,1658.0,1070.05,7.92,60.5,1292.0,2856.0,465.63
2025-11-08 19:58:35.040324,Jeonbuk,Jeonju,18904.29,12786.0,1742.87,10.15,82.6,18517.0,1126.0,461.57
2025-11-08 19:58:35.040324,Jeonbuk,Namwon,1669.96,5085.0,1201.31,8.71,62.3,2422.0,1793.0,512.91
2025-11-08 19:58:35.040324,Jeonnam,Gwangyang,3077.43,2247.0,377.2,9.13,59.3,2130.0,2564.0,546.18
2025-11-08 19:58:35.040324,Jeonnam,Mokpo,2049.16,4198.0,1521.95,10.77,69.3,1592.0,2086.0,538.64
2025-11-08 19:58:35.040324,Jeonnam,Naju,9032.62,3470.0,1445.61,9.84,70.6,3415.0,263.0,555.43
2025-11-08 19:58:35.040324,Jeonnam,Suncheon,4327.88,4314.0,1311.81,9.86,61.0,1199.0,1823.0,530.09
2025-11-08 19:58:35.040324,Jeonnam,Yeosu,8232.39,862.0,192.42,11.2,75.8,678.0,2805.0,490.28
2025-11-08 19:58:35.040324,Sejong,Sejong City,6871.9,675.0,207.29,8.19,65.6,1741.0,931.0,533.86
2025-11-08 19:58:35.040324,Seoul,Gangnam-gu,18717.2,3851.0,1590.02,8.39,63.3,9085.0,9216.0,541.39
2025-11-08 19:58:35.040324,Seoul,Jung-gu,19714.04,16213.0,1009.83,7.33,57.1,22375.0,5931.0,459.28
2025-11-08 19:58:35.040324,Seoul,Mapo-gu,9345.39,3533.0,1248.16,7.26,66.5,1563.0,289.0,476.09
2025-11-08 19:58:35.040324,Seoul,Seocho-gu,8585.79,1592.0,861.92,7.16,71.1,670.0,1423.0,517.17
2025-11-08 19:58:35.040324,Seoul,Songpa-gu,5170.37,2765.0,577.42,7.27,68.0,1574.0,982.0,516.4
2025-11-08 19:58:35.040324,Seoul,Yeongdeungpo-gu,5215.02,820.0,1188.62,9.52,61.9,1680.0,454.0,485.49
2025-11-08 19:58:35.040324,Ulsan,Buk-gu,5391.57,2931.0,1176.38,7.87,69.8,3080.0,2644.0,480.29
2025-11-08 19:58:35.040324,Ulsan,Dong-gu,6791.65,2676.0,288.81,11.42,61.6,2234.0,2815.0,511.13
2025-11-08 19:58:35.040324,Ulsan,Jung-gu,20523.31,8316.0,844.15,9.48,71.5,26466.0,13073.0,532.57
2025-11-08 19:58:35.040324,Ulsan,Nam-gu,8352.63,1006.0,686.75,8.28,59.3,1756.0,2894.0,527.42
2025-11-08 19:58:35.040324,Ulsan,Ulju-gun,3878.03,2436.0,3037.68,7.24,67.6,1724.0,2681.0,510.76
2025-11-08 20:58:35.040324,Busan,Busanjin-gu,5127.68,932.0,1157.31,10.55,75.1,626.0,915.0,451.31
2025-11-08 20:58:35.040324,Busan,Gangseo-gu,6402.82,2349.0,3112.32,7.85,71.1,1542.0,2603.0,485.32
2025-11-08 20:58:35.040324,Busan,Haeundae-gu,8904.98,19033.0,1223.27,10.53,69.1,30383.0,8427.0,547.18
2025-11-08 20:58:35.040324,Busan,Saha-gu,7564.36,3845.0,1191.06,6.92,65.4,616.0,116.0,529.53
2025-11-08 20:58:35.040324,Busan,Suyeong-gu,2123.22,694.0,571.19,7.9,72.5,1613.0,357.0,471.76
2025-11-08 20:58:35.040324,Chungbuk,Cheongju,8824.42,3501.0,1192.97,9.66,70.2,262.0,399.0,480.87
2025-11-08 20:58:35.040324,Chungbuk,Chungju,1928.73,2157.0,1259.49,9.25,70.7,1556.0,2726.0,540.76
2025-11-08 20:58:35.040324,Chungbuk,Danyang,5897.4,2355.0,1513.37,7.13,60.8,2685.0,267.0,477.77
2025-11-08 20:58:35.040324,Chungbuk,Jecheon,3678.85,3223.0,1160.96,9.47,55.5,1759.0,950.0,532.45
2025-11-08 20:58:35.040324,Chungnam,Asan,2084.23,2960.0,996.38,10.47,55.8,1888.0,1191.0,492.8
2025-11-08 20:58:35.040324,Chungnam,Cheonan,2064.42,930.0,1101.13,9.42,71.8,417.0,1893.0,457.85
2025-11-08 20:58:35.040324,Chungnam,Gongju,8944.81,2337.0,647.14,10.63,78.9,2496.0,346.0,532.79
2025-11-08 20:58:35.040324,Chungnam,Nonsan,3424.99,1910.0,1388.16,9.97,57.6,2821.0,2890.0,464.35
2025-11-08 20:58:35.040324,Chungnam,Seosan,5221.14,873.0,261.43,8.77,76.5,1765.0,133.0,462.94
2025-11-08 20:58:35.040324,Daegu,Buk-gu,1578.8,2291.0,808.23,7.84,77.9,976.0,926.0,454.78
2025-11-08 20:58:35.040324,Daegu,Dalseo-gu,6891.43,1959.0,1697.32,7.04,62.5,1254.0,1604.0,548.28
2025-11-08 20:58:35.040324,Daegu,Dong-gu,5959.89,2140.0,875.58,9.88,66.3,740.0,1167.0,449.66
2025-11-08 20:58:35.040324,Daegu,Jung-gu,12870.84,15832.0,495.97,9.88,62.4,16881.0,2601.0,508.62
2025-11-08 20:58:35.040324,Daegu,Suseong-gu,5230.58,2343.0,468.9,7.05,73.5,1253.0,120.0,453.72
2025-11-08 20:58:35.040324,Daejeon,Daedeok-gu,6833.1,2813.0,835.74,7.88,63.4,2574.0,848.0,501.77
2025-11-08 20:58:35.040324,Daejeon,Dong-gu,6195.12,2064.0,622.33,10.18,75.0,2707.0,2711.0,529.27
2025-11-08 20:58:35.040324,Daejeon,Jung-gu,5998.54,5276.0,1330.16,6.12,60.1,19409.0,9809.0,505.0
2025-11-08 20:58:35.040324,Daejeon,Seo-gu,5413.68,3309.0,169.91,7.36,71.4,649.0,218.0,498.64
2025-11-08 20:58:35.040324,Daejeon,Yuseong-gu,4106.91,4158.0,364.96,7.26,77.8,1892.0,2104.0,484.06
2025-11-08 20:58:35.040324,Gangwon,Chuncheon,5701.07,1824.0,901.54,8.23,77.5,3071.0,1226.0,531.68
2025-11-08 20:58:35.040324,Gangwon,Donghae,7387.18,1536.0,328.2,9.17,80.0,1462.0,2232.0,517.12
2025-11-08 20:58:35.040324,Gangwon,Gangneung,1101.09,4524.0,440.12,8.62,65.5,3065.0,2550.0,452.61
2025-11-08 20:58:35.040324,Gangwon,Sokcho,7537.56,1633.0,1228.06,8.1,78.9,2336.0,1179.0,537.47
2025-11-08 20:58:35.040324,Gangwon,Wonju,1853.88,1031.0,186.41,9.68,58.7,1273.0,668.0,463.42
2025-11-08 20:58:35.040324,Gwangju,Buk-gu,1816.29,2495.0,1172.77,7.25,69.8,1019.0,115.0,512.02
2025-11-08 20:58:35.040324,Gwangju,Dong-gu,8571.34,5037.0,630.2,9.62,65.3,3791.0,2827.0,453.37
2025-11-08 20:58:35.040324,Gwangju,Gwangsan-gu,6360.76,3892.0,1609.11,8.84,57.6,1621.0,1044.0,511.18
2025-11-08 20:58:35.040324,Gwangju,Nam-gu,4955.2,1452.0,1164.4,7.92,72.3,736.0,1773.0,475.27
2025-11-08 20:58:35.040324,Gwangju,Seo-gu,2811.61,4106.0,632.31,9.37,71.7,1605.0,869.0,542.94
2025-11-08 20:58:35.040324,Gyeongbuk,Andong,3352.45,2659.0,1159.15,8.83,78.6,3728.0,2722.0,478.97
2025-11-08 20:58:35.040324,Gyeongbuk,Gumi,2936.96,1009.0,2487.88,7.97,69.3,1223.0,2142.0,485.64
2025-11-08 20:58:35.040324,Gyeongbuk,Gyeongju,5227.45,3464.0,677.03,6.65,72.6,2100.0,1701.0,459.09
2025-11-08 20:58:35.040324,Gyeongbuk,Pohang,11668.29,5275.0,7157.31,9.43,70.0,21830.0,9463.0,504.06
2025-11-08 20:58:35.040324,Gyeongbuk,Yeongju,9290.25,3059.0,434.39,10.5,66.4,1394.0,527.0,499.15
2025-11-08 20:58:35.040324,Gyeonggi,Ansan,6635.86,2090.0,310.44,8.81,60.9,1494.0,2581.0,493.09
2025-11-08 20:58:35.040324,Gyeonggi,Bucheon,3430.86,2111.0,1175.21,6.96,54.4,310.0,1317.0,455.37
2025-11-08 20:58:35.040324,Gyeonggi,Goyang,8485.96,3399.0,1117.07,6.62,55.5,1035.0,174.0,487.04
2025-11-08 20:58:35.040324,Gyeonggi,Hwaseong,6238.93,2810.0,194.88,9.0,63.2,2960.0,1256.0,475.43
2025-11-08 20:58:35.040324,Gyeonggi,Namyangju,2487.74,747.0,1078.86,8.76,74.1,1855.0,2010.0,452.63
2025-11-08 20:58:35.040324,Gyeonggi,Seongnam,22129.04,7675.0,472.4,7.88,61.4,7156.0,11028.0,526.89
2025-11-08 20:58:35.040324,Gyeonggi,Suwon,7985.53,12891.0,223.82,9.13,67.6,18583.0,11665.0,452.08
2025-11-08 20:58:35.040324,Gyeonggi,Yongin,6988.82,3442.0,510.53,8.8,71.9,2222.0,1693.0,552.66
2025-11-08 20:58:35.040324,Gyeongnam,Changwon,7814.15,4621.0,3176.62,6.93,56.2,17642.0,9684.0,457.72
2025-11-08 20:58:35.040324,Gyeongnam,Geoje,3869.77,3674.0,8022.67,8.1,65.7,1839.0,277.0,476.35
2025-11-08 20:58:35.040324,Gyeongnam,Gimhae,3773.68,1458.0,249.35,7.95,65.9,1711.0,590.0,464.78
2025-11-08 20:58:35.040324,Gyeongnam,Jinju,3675.39,3389.0,932.97,6.7,61.9,361.0,627.0,510.86
2025-11-08 20:58:35.040324,Gyeongnam,Yangsan,6115.33,502.0,1372.33,7.35,84.3,2987.0,1560.0,502.28
2025-11-08 20:58:35.040324,Incheon,Bupyeong-gu,2557.68,2269.0,1225.66,7.1,55.8,849.0,2732.0,464.83
